id,created_date,last_updated,bibjson.title,bibjson.active,bibjson.country,bibjson.publisher,bibjson.provider,bibjson.institution,bibjson.apc_url,bibjson.submission_charges_url,bibjson.allows_fulltext_indexing,bibjson.publication_time,issn_type,issn,bibjson.oa_start.year,bibjson.archiving_policy.nat_lib,bibjson.archiving_policy.url,bibjson.editorial_review.process,bibjson.editorial_review.url,bibjson.plagiarism_detection.detection,bibjson.plagiarism_detection.url,bibjson.article_statistics.statistics,bibjson.article_statistics.url,bibjson.author_copyright.copyright,bibjson.author_copyright.url,bibjson.author_publishing_rights.publishing_rights,bibjson.author_publishing_rights.url,admin.ticked,admin.seal,bibjson.apc.currency,bibjson.apc.average_price,bibjson.archiving_policy.other,bibjson.alternative_title
b99c8a565dac41028abe710709fa0a47,2015-11-07T17:00:38Z,2020-02-03T14:18:28Z,Documenta Praehistorica,TRUE,SI,"Znanstvena založba Filozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculty of Arts)",OJS,"University of Ljubljana, Faculty of Arts ",http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#openAccessPolicy,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#openAccessPolicy,TRUE,12,pissn,1408-967X,2003,dLib,http://www.dlib.si/results/?query=%27keywords%3dDocumenta+Praehistorica%27&pageSize=25,Blind peer review,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#peerReviewProcess,FALSE,,FALSE,,True,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/submissions#copyrightNotice,True,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/submissions#copyrightNotice,TRUE,FALSE,NA,NA,NA,NA
b99c8a565dac41028abe710709fa0a47,2015-11-07T17:00:38Z,2020-02-03T14:18:28Z,Documenta Praehistorica,TRUE,SI,"Znanstvena založba Filozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculty of Arts)",OJS,"University of Ljubljana, Faculty of Arts ",http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#openAccessPolicy,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#openAccessPolicy,TRUE,12,eissn,1854-2492,2003,dLib,http://www.dlib.si/results/?query=%27keywords%3dDocumenta+Praehistorica%27&pageSize=25,Blind peer review,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/editorialPolicies#peerReviewProcess,FALSE,,FALSE,,True,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/submissions#copyrightNotice,True,http://revije.ff.uni-lj.si/DocumentaPraehistorica/about/submissions#copyrightNotice,TRUE,FALSE,NA,NA,NA,NA
9b1d0a04f8af439b8eef13d2ece2e446,2009-04-17T18:28:59Z,2020-02-03T14:19:08Z,Sustainability,NA,CH,MDPI AG,MDPI AG,NA,http://www.mdpi.com/journal/sustainability/apc,http://www.mdpi.com/journal/sustainability/apc,TRUE,11,eissn,2071-1050,2009,Swiss National Library,http://www.mdpi.com/journal/sustainability/indexing,Blind peer review,http://www.mdpi.com/journal/sustainability/instructions#editorial_procedure,TRUE,http://www.mdpi.com/journal/sustainability/instructions#ethics,TRUE,http://www.mdpi.com/journal/sustainability/stats,True,http://www.mdpi.com/about/openaccess,True,http://www.mdpi.com/about/openaccess,TRUE,TRUE,CHF,1700,NA,NA
a93400557c92470b8603e96796297aab,2011-11-04T11:48:02Z,2020-02-03T14:17:25Z,Scientific Reports,NA,GB,Nature Publishing Group,Nature.com,NA,https://www.nature.com/srep/about/article-processing-charges,https://www.nature.com/srep/publish/how-to-publish,TRUE,20,eissn,2045-2322,2011,NA,http://www.nature.com/openresearch/about-open-access/policies-journals/#Digital_preservation,Blind peer review,https://www.nature.com/srep/journal-policies/peer-review,TRUE,https://www.nature.com/srep/journal-policies/editorial-policies#plagiarism,TRUE,http://www.nature.com/srep/2011/110614/srep00002/metrics,True,https://www.nature.com/srep/publish/reasons-to-publish,True,https://www.nature.com/srep/publish/reasons-to-publish,TRUE,TRUE,GBP,1165,NA,NA
229c4d88ee574f1dad0fd47a3b73fbd9,2016-04-30T18:05:35Z,2020-02-03T14:17:29Z,European Journal of Ecology,NA,PL,Sciendo,Sciendo,"University of Prešov, Faculty of Humanities and Natural Sciences",http://www.degruyter.com/view/j/eje,http://www.degruyter.com/view/j/eje,TRUE,11,eissn,1339-8474,2015,NA,http://www.degruyter.com/page/859,Blind peer review,https://journals.ku.edu/EuroJEcol/about,TRUE,http://www.degruyter.com/page/859,FALSE,,True,http://www.degruyter.com/view/supplement/s13398474_Open_Access_License.pdf,False,,TRUE,FALSE,NA,NA,NA,NA
5467e928787b453eb5cd1d13ef9661b0,2007-03-16T14:13:05Z,2020-02-03T14:13:28Z,Journal of Information Technology in Construction,TRUE,NL,International Council for Research and Innovation in Building and Construction,NA,NA,https://www.itcon.org/about,https://www.itcon.org/about,TRUE,26,eissn,1874-4753,1996,NA,NA,Blind peer review,https://www.itcon.org/for-authors,FALSE,,FALSE,,True,https://www.itcon.org/for-authors,True,https://www.itcon.org/for-authors,TRUE,FALSE,NA,NA,NA,NA
8780ab525f4e4b5092bbbb1df155ea94,2009-12-08T14:53:10Z,2020-02-03T14:14:38Z,Altre Modernità,NA,IT,Università degli Studi di Milano,OJS,Università degli studi di Milano,http://riviste.unimi.it/index.php/AMonline/about/editorialPolicies#custom-3,http://riviste.unimi.it/index.php/AMonline/about/editorialPolicies#custom-3,TRUE,5,pissn,2035-7680,2009,NA,NA,Double blind peer review,http://riviste.unimi.it/index.php/AMonline/about/editorialPolicies#peerReviewProcess,FALSE,,FALSE,,True,http://riviste.unimi.it/index.php/AMonline/about/editorialPolicies#focusAndScope,True,http://riviste.unimi.it/index.php/AMonline/about/editorialPolicies#focusAndScope,TRUE,FALSE,NA,NA,NA,NA
62b0e1f44b2f40088e530289e600dd89,2015-12-07T18:32:12Z,2020-02-03T14:17:24Z,Stem Cell Research & Therapy,NA,GB,BMC,BMC,NA,http://www.stemcellres.com/about#apc ,http://www.stemcellres.com/about/apcfaq,TRUE,16,eissn,1757-6512,2010,NA,http://www.biomedcentral.com/about/archive ,Peer review,http://www.stemcellres.com/about#publication,TRUE,http://www.biomedcentral.com/about /editorialpolicies#DuplicatePublication ,TRUE,http://www.stemcellres.com/content/5/6/140/about,True,http://www.stemcellres.com/about#whypublish,True,http://www.biomedcentral.com/about/license ,TRUE,TRUE,GBP,1390,Koninklijke Bibliotheek ,NA
f056f0d9a3594cec869f8793e809bff2,2010-05-07T16:11:01Z,2020-02-03T14:13:26Z,Toxins,NA,CH,MDPI AG,MDPI AG,NA,http://www.mdpi.com/journal/toxins/apc,http://www.mdpi.com/journal/toxins/apc,TRUE,11,pissn,2072-6651,2009,Swiss National Library,https://www.e-helvetica.nb.admin.ch/pages/main.jsf,Blind peer review,http://www.mdpi.com/journal/toxins/instructions#editorial_procedure,TRUE,http://www.mdpi.com/journal/toxins/instructions#ethics,TRUE,http://www.mdpi.com/journal/toxins/stats,True,http://www.mdpi.com/about/openaccess,True,http://www.mdpi.com/about/openaccess,TRUE,TRUE,CHF,1800,NA,NA
2fdf1470373343b7bd4f825179c685f5,2007-03-30T10:53:19Z,2020-02-03T14:12:55Z,PLoS ONE,NA,US,Public Library of Science (PLoS),Public Library of Science (PLoS),NA,http://journals.plos.org/plosone/s/publication-fees,http://journals.plos.org/plosone/s/publication-fees,TRUE,24,eissn,1932-6203,2006,NA,http://journals.plos.org/plosone/s/publishing-information,Peer review,http://journals.plos.org/plosone/s/editorial-and-peer-review-process,TRUE,http://journals.plos.org/plosone/s/ethical-publishing-practice#loc-plagiarism,TRUE,http://www.lagotto.io/plos/#static-content-wrap,True,http://journals.plos.org/plosone/s/content-license,True,http://journals.plos.org/plosone/s/content-license,TRUE,TRUE,USD,1595,NA,PLOS ONE
