algorithm_version,doi,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,title,url
2,10.4312/dp.45.2,crossref,open (via page says license),https://revije.ff.uni-lj.si/DocumentaPraehistorica/article/download/45.2/8427,FALSE,TRUE,FALSE,cc-by-sa,gold,The Epipalaeolithic-Neolithic as the pivotal transformation of human history,https://doi.org/10.4312/dp.45.2
2,10.1109/ciced.2018.8592436,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Multi-objective Optimization Method of Annual Power Cut Plan Based on DMODA Algorithm,https://doi.org/10.1109/ciced.2018.8592436
2,10.3390/su10124784,crossref,open (via page says license),https://www.mdpi.com/2071-1050/10/12/4784/pdf,TRUE,TRUE,FALSE,cc-by,gold,Ecological Niche Space of Fish Communities in Impounded Sections of Large Rivers: Its Application to Assessment of the Impact of Weirs on River Ecosystems,https://doi.org/10.3390/su10124784
2,10.1016/j.pbiomolbio.2018.04.006,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Four Domains: The Fundamental Unicell and Post-Darwinian Cognition-Based Evolution,https://doi.org/10.1016/j.pbiomolbio.2018.04.006
2,10.3167/proj.2018.120202,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Film, Art, and the Third Culture",https://doi.org/10.3167/proj.2018.120202
2,10.1007/s11569-018-0332-y,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Are Better Workers Also Better Humans? On Pharmacological Cognitive Enhancement in the Workplace and Conflicting Societal Domains,https://doi.org/10.1007/s11569-018-0332-y
2,10.3167/proj.2018.120214,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Film, Art, and the Third Culture",https://doi.org/10.3167/proj.2018.120214
2,10.1086/700094,crossref,oa repository (via OAI-PMH doi match),https://serval.unil.ch/resource/serval:BIB_7C71A3D8CED2.P001/REF.pdf,FALSE,TRUE,TRUE,cc-by-nc,green,"Eco-Evolutionary Dynamics in Metacommunities: Ecological Inheritance, Helping within Species, and Harming between Species",https://doi.org/10.1086/700094
2,10.1038/s41598-018-24641-3,crossref,open (via page says license),https://www.nature.com/articles/s41598-018-24641-3.pdf,TRUE,TRUE,FALSE,cc-by,gold,Human and ecological determinants of the spatial structure of local breed diversity,https://doi.org/10.1038/s41598-018-24641-3
2,10.2478/eje-2018-0018,crossref,open (via page says license),https://content.sciendo.com/downloadpdf/journals/eje/4/2/article-p111.pdf,FALSE,TRUE,FALSE,cc-by-nc-nd,gold,The conceptual structure of evolutionary biology: A framework from phenotypic plasticity,https://doi.org/10.2478/eje-2018-0018
2,10.1007/s13164-017-0347-2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Teaching in Hunter-Gatherers,https://doi.org/10.1007/s13164-017-0347-2
2,10.1007/s11160-018-9526-1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Biology, ecology and biogeography of the South American silver croaker, an important Neotropical fish species in South America",https://doi.org/10.1007/s11160-018-9526-1
2,10.1007/978-981-13-2140-5_13,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Genomics Approaches for Biotic and Abiotic Stress Improvement in Tea,https://doi.org/10.1007/978-981-13-2140-5_13
2,10.1007/s00407-018-0215-1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The astronomical orientation of the historical Grand mosques in Anatolia (Turkey),https://doi.org/10.1007/s00407-018-0215-1
2,10.1016/j.ecss.2018.02.022,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Grazers, pathogens and shelf-shading enhance phytoplankton species richness more and reduce productivity less when environments are less dynamic: A theoretical study",https://doi.org/10.1016/j.ecss.2018.02.022
2,10.1073/pnas.1809606115,crossref,open (via page says license),https://www.pnas.org/content/pnas/115/42/10696.full.pdf,FALSE,TRUE,TRUE,cc-by-nc-nd,hybrid,Diplogastrellus nematodes are sexually transmitted mutualists that alter the bacterial and fungal communities of their beetle host,https://doi.org/10.1073/pnas.1809606115
2,10.1016/j.jtbi.2018.07.002,crossref,open (via crossref license),https://doi.org/10.1016/j.jtbi.2018.07.002,TRUE,TRUE,TRUE,cc-by,hybrid,Free-energy minimization in joint agent-environment systems: A niche construction perspective,https://doi.org/10.1016/j.jtbi.2018.07.002
2,10.1007/s10764-018-0033-y,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Investigating Niche Construction in Dynamic Human-Animal Landscapes: Bridging Ecological and Evolutionary Timescales,https://doi.org/10.1007/s10764-018-0033-y
2,10.1111/eth.12799,crossref,oa repository (via OAI-PMH doi match),https://e-space.mmu.ac.uk/621500/7/Stanley_et_al-2018-Ethology-1.pdf,FALSE,TRUE,TRUE,NA,green,Female clustering in cockroach aggregations-A case of social niche construction?,https://doi.org/10.1111/eth.12799
2,10.1007/s10745-018-0020-0,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs10745-018-0020-0.pdf,TRUE,TRUE,TRUE,cc-by,hybrid,"Disequilibrium, Adaptation, and the Norse Settlement of Greenland",https://doi.org/10.1007/s10745-018-0020-0
2,10.1016/j.jasrep.2018.08.036,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,OSL dating of pre-terraced and terraced landscape: Land transformation in Jerusalem's rural hinterland,https://doi.org/10.1016/j.jasrep.2018.08.036
